trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-141.4152219254666,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-118.74810356680284,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-134.30063983462142,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-122.97600732528981,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,2,-9.639186715051562,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,12,2.7898590683150184,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-32.30763679982498,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-80.37939015975518,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-61.96798385294584,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-84.82140927085712,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-25.103553666871605,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-28.16709246761365,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,5,-29.19961200493926,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-2.918593524608614,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,12,21.289498513974756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-50.21845680672953,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,16,10.304394010758255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,20.80318001076089,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,7,12.021487368019777,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,22.44349872235844,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,23.591695430775612,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,12,31.876211003456852,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-25.997937197119185,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,9,19.688356652330302,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,12,25.61534719374939,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,12,44.99543335703007,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,15,18.10519012016503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,9,6.303381484449328,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,15,22.30262088856527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,3,31.601188162330747,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
