trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.80296132381578,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-152.86746007702118,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-102.22527615637523,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-67.67271628155576,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,5.322374232698929,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-63.36958010841685,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,11,-109.93856967351364,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,12,-96.58761836596915,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-87.91311745097039,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-95.90864833833436,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",35,0,-136.24450325609232,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-63.41306682624579,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-173.96011843944314,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",35,0,-339.1364660574151,"{0: 13, 1: 4, 2: 9, 3: 6, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,1,-145.02896264110086,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,6,8.077170458111826,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",35,0,-54.79885947211761,"{0: 25, 1: 3, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",30,0,-276.3408095955744,"{0: 13, 1: 3, 2: 8, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-28.119430586660854,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-157.7022506342246,"{0: 18, 1: 2, 2: 5, 3: 4, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",35,0,-82.59685412801498,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",35,0,-203.78155542759998,"{0: 20, 1: 2, 2: 9, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,0,-117.3322573649244,"{0: 22, 1: 3, 2: 1, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",30,0,-138.004962492784,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,0,-58.85172920899254,"{0: 23, 1: 0, 2: 5, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-187.316208634988,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-78.22786498933569,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-99.65846368803236,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
