trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.26123797920842,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.77395441962415,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.51560440630828,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,7,-18.289133567400253,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.99727611241221,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-217.88590661448606,"{0: 14, 1: 3, 2: 10, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.28899817200508,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.38409527191148,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.13202618839966,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.39060580203846,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.28564143160174,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-251.8830454840801,"{0: 18, 1: 1, 2: 4, 3: 3, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.42265402380453,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,2,-244.1098376976274,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 4}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.52448372238419,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.07939409851832,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.47204830674838,"{0: 9, 1: 8, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.69640533540485,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,17,3.0168561933500504,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.22725948341478,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-18.31492248877889,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.63704697875012,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.23968261471943,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.78428957901549,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.78857487544803,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-234.07867260270754,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.1088671029654,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-182.78659171952157,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,5,-69.11794536993459,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,5,-35.64511240661868,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
